Date,Daily Fees,Cumulative Fees
2025-04-07,7267.538247172501,7267.538247172501
2025-04-08,0,7267.538247172501
2025-04-09,0,7267.538247172501
2025-04-10,0,7267.538247172501
2025-04-11,2.2495707693,7269.7878179418
2025-04-12,0,7269.7878179418
2025-04-13,0,7269.7878179418
2025-04-14,0,7269.7878179418
2025-04-15,0,7269.7878179418
2025-04-16,0,7269.7878179418
2025-04-17,0,7269.7878179418
2025-04-18,0,7269.7878179418
2025-04-19,0,7269.7878179418
2025-04-20,0,7269.7878179418
2025-04-21,0,7269.7878179418
2025-04-22,0,7269.7878179418
2025-04-23,0,7269.7878179418
2025-04-24,925.0095865183997,8194.7974044602
2025-04-25,911.0659176404004,9105.8633221006
2025-04-26,0,9105.8633221006
2025-04-27,0,9105.8633221006
2025-04-28,0,9105.8633221006
2025-04-29,0,9105.8633221006
2025-04-30,0,9105.8633221006
2025-05-01,0,9105.8633221006
2025-05-02,0,9105.8633221006
2025-05-03,0,9105.8633221006
2025-05-04,0,9105.8633221006
2025-05-05,0,9105.8633221006
2025-05-06,0,9105.8633221006
2025-05-07,0,9105.8633221006
2025-05-08,0,9105.8633221006
2025-05-09,0,9105.8633221006
2025-05-10,0,9105.8633221006
2025-05-11,0,9105.8633221006
2025-05-12,0,9105.8633221006
2025-05-13,0,9105.8633221006
2025-05-14,0,9105.8633221006
2025-05-15,0,9105.8633221006
2025-05-16,0,9105.8633221006
2025-05-17,0,9105.8633221006
2025-05-18,0,9105.8633221006
2025-05-19,0,9105.8633221006
2025-05-20,0,9105.8633221006
2025-05-21,0,9105.8633221006
2025-05-22,0,9105.8633221006
2025-05-23,0,9105.8633221006
2025-05-24,0,9105.8633221006
2025-05-25,0,9105.8633221006
2025-05-26,1657.9585772942005,10763.821899394801
2025-05-27,25.0064848575,10788.828384252301
2025-05-28,0,10788.828384252301
2025-05-29,524.8400702442,11313.668454496501
2025-05-30,224.95184748810001,11538.620301984602
2025-05-31,0,11538.620301984602
2025-06-01,0,11538.620301984602
2025-06-02,0,11538.620301984602
2025-06-03,0,11538.620301984602
2025-06-04,0,11538.620301984602
2025-06-05,599.8981509805,12138.518452965101
2025-06-06,0,12138.518452965101
2025-06-07,0,12138.518452965101
2025-06-08,0,12138.518452965101
2025-06-09,0,12138.518452965101
2025-06-10,274.89308687609997,12413.411539841201
2025-06-11,0,12413.411539841201
2025-06-12,2.7509417828999996,12416.162481624102
2025-06-13,0,12416.162481624102
2025-06-14,0,12416.162481624102
2025-06-15,0,12416.162481624102
2025-06-16,24.6977219988,12440.860203622902
2025-06-17,0,12440.860203622902
2025-06-18,0.504364,12441.364567622903
2025-06-19,0,12441.364567622903
2025-06-20,0,12441.364567622903
2025-06-21,0,12441.364567622903
2025-06-22,0,12441.364567622903
2025-06-23,0,12441.364567622903
2025-06-24,7.245162505900001,12448.609730128803
2025-06-25,0,12448.609730128803
2025-06-26,538.0358606542001,12986.645590783002
2025-06-27,3229.9754093594997,16216.621000142502
2025-06-28,0,16216.621000142502
2025-06-29,0,16216.621000142502
2025-06-30,0.251392,16216.872392142503
2025-07-01,0,16216.872392142503
2025-07-02,0,16216.872392142503
2025-07-03,0,16216.872392142503
2025-07-04,24.991499083200004,16241.863891225703
2025-07-05,0,16241.863891225703
2025-07-06,0,16241.863891225703
2025-07-07,0,16241.863891225703
2025-07-08,0,16241.863891225703
2025-07-09,300.62152437249995,16542.485415598203
2025-07-10,1823.1290837317003,18365.614499329902
2025-07-11,150.45366928319999,18516.068168613103
2025-07-12,0,18516.068168613103
2025-07-13,0,18516.068168613103
2025-07-14,124.97165145759999,18641.039820070702
2025-07-15,0,18641.039820070702
2025-07-16,149.93799021620003,18790.977810286902
2025-07-17,0,18790.977810286902
2025-07-18,0,18790.977810286902
2025-07-19,0,18790.977810286902
2025-07-20,0,18790.977810286902
2025-07-21,5155.455377531098,23946.433187818002
2025-07-22,0.373849,23946.807036818
2025-07-23,0,23946.807036818
2025-07-24,0,23946.807036818
2025-07-25,0,23946.807036818
2025-07-26,0,23946.807036818
2025-07-27,0,23946.807036818
2025-07-28,0,23946.807036818
2025-07-29,0,23946.807036818
2025-07-30,0,23946.807036818
2025-07-31,11.601996482,23958.409033300002
2025-08-01,0,23958.409033300002
2025-08-02,0,23958.409033300002
2025-08-03,0,23958.409033300002
2025-08-04,5.3286220845,23963.737655384502
2025-08-05,0,23963.737655384502
2025-08-06,0,23963.737655384502
2025-08-07,0,23963.737655384502
2025-08-08,0,23963.737655384502
2025-08-09,0,23963.737655384502
2025-08-10,24.992004209900003,23988.729659594403
2025-08-11,0,23988.729659594403
2025-08-12,0,23988.729659594403
2025-08-13,6.8610352401,23995.590694834504
2025-08-14,9.5545810968,24005.145275931303
2025-08-15,0,24005.145275931303
2025-08-16,0,24005.145275931303
2025-08-17,0,24005.145275931303
2025-08-18,25.0042174536,24030.149493384903
2025-08-19,0,24030.149493384903
2025-08-20,50.2471098134,24080.396603198304
2025-08-21,351.94620526209997,24432.342808460402
2025-08-22,0,24432.342808460402
2025-08-23,0,24432.342808460402
2025-08-24,0,24432.342808460402
2025-08-25,0,24432.342808460402
2025-08-26,1317.9877814054,25750.330589865804
2025-08-27,2660.3639385484007,28410.694528414206
2025-08-28,816.9021042830997,29227.596632697307
2025-08-29,4.46866,29232.065292697305
2025-08-30,0,29232.065292697305
2025-08-31,0,29232.065292697305
2025-09-01,6.5981015492,29238.663394246505
2025-09-02,0,29238.663394246505
2025-09-03,4.3424065755,29243.005800822004
2025-09-04,0,29243.005800822004
2025-09-05,2.8153950825000003,29245.821195904504
2025-09-06,0,29245.821195904504
2025-09-07,0,29245.821195904504
2025-09-08,0,29245.821195904504
2025-09-09,24.963266879499997,29270.784462784002
2025-09-10,50.448195161700006,29321.232657945704
2025-09-11,28.714280203199994,29349.946938148903
2025-09-12,29.714512550399995,29379.661450699303
2025-09-13,0,29379.661450699303
2025-09-14,0,29379.661450699303
2025-09-15,0,29379.661450699303
2025-09-16,0,29379.661450699303
2025-09-17,0,29379.661450699303
2025-09-18,-95.945041993,29283.716408706303
2025-09-19,-192.89141366720003,29090.824995039104
2025-09-20,0,29090.824995039104
2025-09-21,-10.222311626,29080.602683413104
2025-09-22,-109.8802052708,28970.722478142303
2025-09-23,-104.4369582558,28866.285519886504
2025-09-24,-145.82926082649996,28720.456259060004
2025-09-25,-133.87442169439987,28586.581837365604
2025-09-26,2.9473607741000016,28589.529198139702
2025-09-27,0,28589.529198139702
2025-09-28,0,28589.529198139702
2025-09-29,-1.0281263733000001,28588.5010717664
2025-09-30,-10.029294276299998,28578.4717774901
2025-10-01,-82.3117968027,28496.1599806874
2025-10-02,-29.911843181099993,28466.2481375063
2025-10-03,-62.211389377500005,28404.0367481288
2025-10-04,0,28404.0367481288
2025-10-05,7.432293498400003,28411.469041627202
2025-10-06,0,28411.469041627202
2025-10-07,0,28411.469041627202
2025-10-08,0,28411.469041627202
2025-10-09,8.879367470399998,28420.3484090976
2025-10-10,0,28420.3484090976
2025-10-11,2.4312485163999993,28422.779657614003
2025-10-12,-87.17040147579999,28335.609256138203
2025-10-13,0,28335.609256138203
2025-10-14,-79.77564572910002,28255.833610409103
2025-10-15,-104.63647425319999,28151.197136155904
2025-10-16,0,28151.197136155904
2025-10-17,0,28151.197136155904
2025-10-18,0,28151.197136155904
2025-10-19,-31.154898555900008,28120.042237600006
2025-10-20,-221.70724533329997,27898.334992266708
2025-10-21,-92.87765302270004,27805.457339244007
