Date,Daily Funding Fees,Cumulative Funding Fees
2025-04-07,1031.5311977415,1031.5311977415
2025-04-08,1447.0069913024001,2478.5381890439003
2025-04-09,354.61367687,2833.1518659139
2025-04-10,280.0471635764,3113.1990294903003
2025-04-11,1705.3078000972,4818.506829587501
2025-04-12,677.5449903544,5496.051819941901
2025-04-13,80.2188958438,5576.270715785701
2025-04-14,513.4568007203,6089.727516506001
2025-04-15,133.85511321279998,6223.5826297188005
2025-04-16,322.6731010297,6546.2557307485
2025-04-17,170.5763337908,6716.8320645393005
2025-04-18,81.3778197274,6798.2098842667
2025-04-19,197.6583330846,6995.8682173513
2025-04-20,-37.225044675,6958.643172676299
2025-04-21,157.0680594925,7115.711232168799
2025-04-22,6.998226074399999,7122.709458243199
2025-04-23,25.393695699200002,7148.103153942399
2025-04-24,-36.9617544,7111.141399542399
2025-04-25,3.0688857265,7114.2102852688995
2025-04-26,194.6472899376,7308.8575752065
2025-04-27,118.9147328901,7427.7723080966
2025-04-28,18.6900966568,7446.4624047534
2025-04-29,76.16710356290001,7522.6295083162995
2025-04-30,2.1079694781,7524.7374777944
2025-05-01,29.5932755106,7554.330753304999
2025-05-02,-87.8430198472,7466.4877334578
2025-05-03,0.6419199499999999,7467.129653407799
2025-05-04,111.17365262159998,7578.303306029399
2025-05-05,13.987450709500001,7592.290756738899
2025-05-06,0.1054808152,7592.3962375541
2025-05-07,11.781775563300002,7604.178013117399
2025-05-08,-1.5704854880999999,7602.6075276292995
2025-05-09,138.6319822515,7741.239509880799
2025-05-10,-79.77790420410001,7661.461605676699
2025-05-11,-31.185099,7630.276506676699
2025-05-12,25.693759344600004,7655.970266021299
2025-05-13,15.3747571732,7671.345023194499
2025-05-14,152.6814044385,7824.026427632999
2025-05-15,4.2794658288,7828.305893461799
2025-05-16,118.2752659902,7946.581159451999
2025-05-17,67.3025572534,8013.883716705399
2025-05-18,-84.42008251150001,7929.4636341938985
2025-05-19,-306.762293547,7622.701340646899
2025-05-20,-164.2249232833,7458.476417363599
2025-05-21,-493.1557764616,6965.320640901999
2025-05-22,-421.5046268062,6543.816014095799
2025-05-23,-862.5193736735001,5681.296640422299
2025-05-24,3.593493475,5684.890133897299
2025-05-25,83.9637580027,5768.853891899999
2025-05-26,271.9734949104,6040.8273868104
2025-05-27,32.1506635332,6072.9780503435995
2025-05-28,3.4194869184,6076.397537262
2025-05-29,-11.406017032900001,6064.9915202290995
2025-05-30,-357.4160856098,5707.5754346193
2025-05-31,-93.8113121,5613.7641225193
2025-06-01,39.8933959338,5653.6575184531
2025-06-02,-123.8764197882,5529.7810986649
2025-06-03,56.728266591300006,5586.5093652562
2025-06-04,-123.4709777708,5463.0383874854
2025-06-05,-480.0129306435,4983.0254568418995
2025-06-06,-393.26392545569996,4589.7615313862
2025-06-07,72.86985774060001,4662.6313891268
2025-06-08,9.6323058046,4672.2636949314
2025-06-09,-8.199862039200001,4664.0638328922005
2025-06-10,-1118.6727904794,3545.3910424128007
2025-06-11,-4147.575052407,-602.1840099941992
2025-06-12,-1069.696755627,-1671.880765621199
2025-06-13,153.23862415960002,-1518.642141461599
2025-06-14,215.99033874,-1302.651802721599
2025-06-15,194.16442638,-1108.487376341599
2025-06-16,-443.91006628869997,-1552.3974426302989
2025-06-17,-254.0197753982,-1806.4172180284988
2025-06-18,-5.633381211400001,-1812.050599239899
2025-06-19,1.4095790702999997,-1810.641020169599
2025-06-20,4.7423078221,-1805.898712347499
2025-06-21,-0.49913023949999996,-1806.3978425869989
2025-06-22,61.315356718800004,-1745.0824858681988
