Date,Daily Trading Volume (Call),Daily Trading Volume (Put),Daily Trading Volume (Futures),Daily Trading Volume (Spots),Cumulative Trading Volume
2025-04-07,0,0,584.5011953746252,0,584.5011953746252
2025-04-08,0,0,0,0,584.5011953746252
2025-04-09,0,0,1.3641169048187427,0,585.865312279444
2025-04-10,0,0,0,0,585.865312279444
2025-04-11,0,0,2.8865706314774267,0,588.7518829109214
2025-04-12,0,0,0,0,588.7518829109214
2025-04-13,0,0,0,0,588.7518829109214
2025-04-14,0,0,0,0,588.7518829109214
2025-04-15,0,0,0,0,588.7518829109214
2025-04-16,0,0,0,0,588.7518829109214
2025-04-17,0,0,0,0,588.7518829109214
2025-04-18,0,0,0,0,588.7518829109214
2025-04-19,0,0,0,0,588.7518829109214
2025-04-20,0,0,0,0,588.7518829109214
2025-04-21,0,0,0,0,588.7518829109214
2025-04-22,0,0,0,0,588.7518829109214
2025-04-23,0,0,0,0,588.7518829109214
2025-04-24,0,0,2200.214601095739,0,2788.9664840066603
2025-04-25,0,0,2111.3602404099365,0,4900.326724416596
2025-04-26,0,0,0,0,4900.326724416596
2025-04-27,0,0,0,0,4900.326724416596
2025-04-28,0,0,0,0,4900.326724416596
2025-04-29,0,0,0,0,4900.326724416596
2025-04-30,0,0,0,0,4900.326724416596
2025-05-01,0,0,0,0,4900.326724416596
2025-05-02,0,0,0,0,4900.326724416596
2025-05-03,0,0,0,0,4900.326724416596
2025-05-04,0,0,0,0,4900.326724416596
2025-05-05,0,0,0,0,4900.326724416596
2025-05-06,0,0,0,0,4900.326724416596
2025-05-07,0,0,0,0,4900.326724416596
2025-05-08,0,0,0,0,4900.326724416596
2025-05-09,0,0,0,0,4900.326724416596
2025-05-10,0,0,0,0,4900.326724416596
2025-05-11,0,0,0,0,4900.326724416596
2025-05-12,0,0,0,0,4900.326724416596
2025-05-13,0,0,0,0,4900.326724416596
2025-05-14,0,0,0,0,4900.326724416596
2025-05-15,0,0,0,0,4900.326724416596
2025-05-16,0,0,0,0,4900.326724416596
2025-05-17,0,0,0,0,4900.326724416596
2025-05-18,0,0,0,0,4900.326724416596
