Date,Daily Trading Volume (Call),Daily Trading Volume (Put),Daily Trading Volume (Futures),Daily Trading Volume (Spots),Cumulative Trading Volume
2025-04-07,0,0,863703,0,863703
2025-04-08,0,0,0,0,863703
2025-04-09,0,0,2000,0,865703
2025-04-10,0,0,0,0,865703
2025-04-11,0,0,4500,0,870203
2025-04-12,0,0,0,0,870203
2025-04-13,0,0,0,0,870203
2025-04-14,0,0,0,0,870203
2025-04-15,0,0,0,0,870203
2025-04-16,0,0,0,0,870203
2025-04-17,0,0,0,0,870203
2025-04-18,0,0,0,0,870203
2025-04-19,0,0,0,0,870203
2025-04-20,0,0,0,0,870203
2025-04-21,0,0,0,0,870203
2025-04-22,0,0,0,0,870203
2025-04-23,0,0,0,0,870203
2025-04-24,0,0,3907000,0,4777203
2025-04-25,0,0,3738391,0,8515594
2025-04-26,0,0,0,0,8515594
2025-04-27,0,0,0,0,8515594
2025-04-28,0,0,0,0,8515594
2025-04-29,0,0,0,0,8515594
2025-04-30,0,0,0,0,8515594
2025-05-01,0,0,0,0,8515594
2025-05-02,0,0,0,0,8515594
2025-05-03,0,0,0,0,8515594
2025-05-04,0,0,0,0,8515594
2025-05-05,0,0,0,0,8515594
2025-05-06,0,0,0,0,8515594
2025-05-07,0,0,0,0,8515594
2025-05-08,0,0,0,0,8515594
2025-05-09,0,0,0,0,8515594
2025-05-10,0,0,0,0,8515594
2025-05-11,0,0,0,0,8515594
2025-05-12,0,0,0,0,8515594
2025-05-13,0,0,0,0,8515594
2025-05-14,0,0,0,0,8515594
2025-05-15,0,0,0,0,8515594
2025-05-16,0,0,0,0,8515594
2025-05-17,0,0,0,0,8515594
2025-05-18,0,0,0,0,8515594
2025-05-19,0,0,0,0,8515594
2025-05-20,0,0,0,0,8515594
2025-05-21,0,0,0,0,8515594
2025-05-22,0,0,0,0,8515594
2025-05-23,0,0,0,0,8515594
2025-05-24,0,0,0,0,8515594
2025-05-25,0,0,0,0,8515594
2025-05-26,0,0,7892687,0,16408281
2025-05-27,0,0,100000,0,16508281
2025-05-28,0,0,0,0,16508281
2025-05-29,0,0,2200000,0,18708281
2025-05-30,0,0,1500000,0,20208281
2025-05-31,0,0,0,0,20208281
2025-06-01,0,0,0,0,20208281
2025-06-02,0,0,0,0,20208281
2025-06-03,0,0,0,0,20208281
2025-06-04,0,0,0,0,20208281
2025-06-05,0,0,2400000,0,22608281
2025-06-06,0,0,0,0,22608281
2025-06-07,0,0,0,0,22608281
2025-06-08,0,0,0,0,22608281
2025-06-09,0,0,0,0,22608281
2025-06-10,0,0,1100000,0,23708281
2025-06-11,0,0,0,0,23708281
2025-06-12,0,0,5502,0,23713783
2025-06-13,0,0,0,0,23713783
2025-06-14,0,0,0,0,23713783
2025-06-15,0,0,0,0,23713783
2025-06-16,0,0,100000,0,23813783
2025-06-17,0,0,0,0,23813783
2025-06-18,0,0,0,0,23813783
2025-06-19,0,0,0,0,23813783
2025-06-20,0,0,0,0,23813783
2025-06-21,0,0,0,0,23813783
2025-06-22,0,0,0,0,23813783
2025-06-23,0,0,0,0,23813783
2025-06-24,0,0,14490,0,23828273
2025-06-25,0,0,0,0,23828273
2025-06-26,0,0,2156020,0,25984293
2025-06-27,0,0,13145742,0,39130035
2025-06-28,0,0,0,0,39130035
2025-06-29,0,0,0,0,39130035
2025-06-30,0,0,0,0,39130035
2025-07-01,0,0,0,0,39130035
2025-07-02,0,0,0,0,39130035
2025-07-03,0,0,0,0,39130035
2025-07-04,0,0,100000,0,39230035
2025-07-05,0,0,0,0,39230035
2025-07-06,0,0,0,0,39230035
2025-07-07,0,0,0,0,39230035
2025-07-08,0,0,0,0,39230035
2025-07-09,0,0,1203000,0,40433035
2025-07-10,0,0,8459786,0,48892821
2025-07-11,0,0,602000,0,49494821
2025-07-12,0,0,0,0,49494821
2025-07-13,0,0,0,0,49494821
2025-07-14,0,0,500000,0,49994821
2025-07-15,0,0,0,0,49994821
2025-07-16,0,0,700000,0,50694821
2025-07-17,0,0,0,0,50694821
2025-07-18,0,0,0,0,50694821
2025-07-19,0,0,0,0,50694821
2025-07-20,0,0,0,0,50694821
2025-07-21,0,0,20818495,0,71513316
2025-07-22,0,0,0,0,71513316
2025-07-23,0,0,0,0,71513316
2025-07-24,0,0,0,0,71513316
2025-07-25,0,0,0,0,71513316
2025-07-26,0,0,0,0,71513316
2025-07-27,0,0,0,0,71513316
2025-07-28,0,0,0,0,71513316
2025-07-29,0,0,0,0,71513316
2025-07-30,0,0,0,0,71513316
2025-07-31,0,0,23199,0,71536515
2025-08-01,0,0,0,0,71536515
2025-08-02,0,0,0,0,71536515
2025-08-03,0,0,0,0,71536515
2025-08-04,0,0,10654,0,71547169
2025-08-05,0,0,0,0,71547169
2025-08-06,0,0,0,0,71547169
2025-08-07,0,0,0,0,71547169
2025-08-08,0,0,0,0,71547169
2025-08-09,0,0,0,0,71547169
2025-08-10,0,0,100000,0,71647169
2025-08-11,0,0,0,0,71647169
2025-08-12,0,0,0,0,71647169
2025-08-13,0,0,13727,0,71660896
2025-08-14,0,0,19122,0,71680018
2025-08-15,0,0,0,0,71680018
2025-08-16,0,0,0,0,71680018
2025-08-17,0,0,0,0,71680018
2025-08-18,0,0,102000,0,71782018
2025-08-19,0,0,0,0,71782018
2025-08-20,0,0,800000,0,72582018
2025-08-21,0,0,1508318,0,74090336
2025-08-22,0,0,0,0,74090336
2025-08-23,0,0,0,0,74090336
2025-08-24,0,0,0,0,74090336
2025-08-25,0,0,0,0,74090336
2025-08-26,0,0,5265835,0,79356171
2025-08-27,0,0,11145719,0,90501890
2025-08-28,0,0,3636265,0,94138155
2025-08-29,0,0,0,0,94138155
2025-08-30,0,0,0,0,94138155
2025-08-31,0,0,0,0,94138155
2025-09-01,0,0,13194,0,94151349
2025-09-02,0,0,0,0,94151349
2025-09-03,0,0,8684,0,94160033
2025-09-04,0,0,0,0,94160033
2025-09-05,0,0,5629,0,94165662
2025-09-06,0,0,0,0,94165662
2025-09-07,0,0,0,0,94165662
2025-09-08,0,0,0,0,94165662
2025-09-09,0,0,100000,0,94265662
2025-09-10,0,0,1802000,0,96067662
2025-09-11,0,0,910325,0,96977987
2025-09-12,0,0,7154600,0,104132587
2025-09-13,0,0,114764,0,104247351
2025-09-14,0,0,0,0,104247351
2025-09-15,0,0,200000,0,104447351
2025-09-16,0,0,8142,0,104455493
2025-09-17,0,0,0,0,104455493
2025-09-18,0,0,1917933,0,106373426
2025-09-19,0,0,4187007,0,110560433
2025-09-20,0,0,0,0,110560433
2025-09-21,0,0,205000,0,110765433
2025-09-22,0,0,2178745,0,112944178
2025-09-23,0,0,2542388,0,115486566
2025-09-24,0,0,2920256,0,118406822
2025-09-25,0,0,3333936,0,121740758
2025-09-26,0,0,59002,0,121799760
2025-09-27,0,0,0,0,121799760
2025-09-28,0,0,0,0,121799760
2025-09-29,0,0,10283,0,121810043
2025-09-30,0,0,201002,0,122011045
2025-10-01,0,0,1649800,0,123660845
2025-10-02,0,0,584958,0,124245803
2025-10-03,0,0,1247200,0,125493003
2025-10-04,0,0,0,0,125493003
2025-10-05,0,0,1654000,0,127147003
2025-10-06,0,0,0,0,127147003
2025-10-07,0,0,0,0,127147003
2025-10-08,0,0,0,0,127147003
2025-10-09,0,0,25365,0,127172368
2025-10-10,0,0,0,0,127172368
2025-10-11,0,0,18315,0,127190683
2025-10-12,0,0,1827214,0,129017897
2025-10-13,0,0,0,0,129017897
2025-10-14,0,0,1600000,0,130617897
2025-10-15,0,0,2100000,0,132717897
2025-10-16,0,0,0,0,132717897
2025-10-17,0,0,0,0,132717897
2025-10-18,0,0,0,0,132717897
2025-10-19,0,0,1616680,0,134334577
2025-10-20,0,0,4434438,0,138769015
2025-10-21,0,0,1911336,0,140680351
